Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,Location,Postal Code
Consort Lodge,2900000,Flat / Apartment,1677,4,4, St. John's Wood,NW8 7LX
Chisholm Road,2000000,House,1719,4,4,Richmond,TW10 6JH
Werter Road,1695000,House,3235,6,6,Putney,SW15 2LJ
Wimbledon Park Road,575000,Flat / Apartment,983,2,2,Putney,SW18 5SJ
Bishops Gate,2100000,New development,1688,4,4,82-88 Fulham High Street,SW6 3LF
Birdshill Road,6000000,House,12546,7,7, Leatherhead,KT22 0NJ
Fordhook Avenue,1195000,House,2150,5,5,Ealing Common,W5 3LR
Andalus Road,475000,Flat / Apartment,637,2,2,Clapham,SW9 9PQ
Price's Court,525000,Flat / Apartment,771,2,2, Wandsworth,SW11 3YW
Ashley Gardens,2750000,Flat / Apartment,2339,5,5, Westminster,SW1P 1PD
Werter Road,1395000,House,2358,6,6,Putney,SW15 2LL
Bryanston Square,1995000,Flat / Apartment,1156,3,3,Marylebone,W1H 2DX
Portland & Riding,3950000,Penthouse,2227,4,4,Great Portland Street,W1W 7NT
Bishops Gate,1850000,New development,1462,3,3,82-88 Fulham High Street,SW6 3LF
Landmark Place At Tower Bridge,2524000,New development,1008,2,2,Water Lane,EC3R 6EA
Carlton House,780000,New development,798,2,2,27 Carlton Drive,SW15 2BS
500 Chiswick High Road,2225000,New development,2899,4,4,Chiswick,W4 5RG
Chiswick High Road,550000,New development,581,1,1,Chiswick,W4 5RG
Melville Road,3150000,House,2894,5,5,Barnes,SW13 9RJ
Cyril Mansions,625000,Flat / Apartment,613,2,2,Prince of Wales Drive,SW11 4HW
Marian Lodge,699950,Flat / Apartment,1334,2,2, Wimbledon,SW20 8HJ
Eaton Square,9950000,Flat / Apartment,2832,3,3,Belgravia,SW1W 9AP
Marchmont Gardens,2750000,House,2213,5,5,Richmond,TW10 6ET
Oaklands,2500000,House,4012,5,5, Loughton,IG10 4RL
Highbury Hill,999950,Flat / Apartment,840,2,2,Highbury,N5 1HH
Lonsdale Square,550000,Flat / Apartment,399,1,1,Islington,N1 1EW
Deansway,2600000,House,3318,5,5,East Finchley,N2 0HX
Irene Road,2150000,House,2087,5,5,Fulham,SW6 4AQ
East Sheen Avenue,1800000,House,2001,5,5,East Sheen,SW14 8AU
Rowfant Road,1395000,House,2390,5,5,Wandsworth,SW17 7AP
Colehill Lane,1100000,House,1370,3,3, Fulham,SW6 5EF
Brocklebank Road,1200000,House,1743,4,4,Wandsworth,SW18 3AX
Westover Road,2125000,House,2591,5,5,Wandsworth,SW18 2RH
Spring Terrace,2850000,House,2934,5,5,Richmond,TW9 1LW
Ashurst Close,750000,House,1309,3,3,Northwood,HA6 1EL
Woburn Avenue,535000,House,900,3,3, Epping,CM16 7JS
Woodredon Farm,575000,Bungalow,1013,3,3, Waltham Abbey,EN9 3SX
Bishops Gate,1425000,New development,1063,2,2,82-88 Fulham High Street,SW6 3LF
Kings College Court,2650000,New development,1727,2,2, Belsize Park,NW3 3EA
Beaufort Court,775000,New development,870,2,2,65 Maygrove Road,NW6 2DA
Bailey House,2100000,Flat / Apartment,1527,3,3,Coleridge Gardens,SW10 0RG
Rosenau Crescent,1750000,House,2006,5,5,Battersea,SW11 4RY
Mysore Road,700000,Flat / Apartment,807,2,2,Battersea,SW11 5RZ
Artillery Mansions,2250000,Flat / Apartment,1669,3,3, Westminster,SW1H 0HY
St. Aubyns Court,750000,Flat / Apartment,1171,3,3, Wimbledon,SW19 4AQ
High Street,599950,New development,883,2,2,Colliers Wood,SW19 2BY
Southlands Drive,650000,Flat / Apartment,976,2,2,Wimbledon,SW19 5QN
Acris Street,1285000,House,1968,5,5,Wandsworth,SW18 2QP
Grove Hall Court,995000,Flat / Apartment,812,2,2, St. John's Wood,NW8 9NS
Trinity Road,450000,Flat / Apartment,533,1,1,Wandsworth,SW18 3RG
Chiltern Place,3950000,New development,1150,2,2,66 Chiltern Street,W1U 6NJ
Rosaville Road,1400000,House,1406,4,4,Fulham,SW6 7BN
Carillon Court,399950,Flat / Apartment,398,1,1,Oxford Road,W5 3SX
Riverside Quarter,900000,New development,901,2,2,Wandsworth,SW18 1PP
Thames Quay,699950,Flat / Apartment,645,1,1,Chelsea Harbour,SW10 0UY
Lyston House,835000,Flat / Apartment,1155,3,3,Clifton Road,SW19 4QY
Grosvenor Hill,750000,Flat / Apartment,815,2,2,Wimbledon,SW19 4RU
Ballantine Street,939999,House,1171,3,3, Wandsworth,SW18 1AL
Eastfields Avenue,655000,Flat / Apartment,761,2,2,Riverside Quarter,SW18 1FQ
Hamilton Terrace,995000,Flat / Apartment,1041,2,2,St. John's Wood,NW8 9UJ
Ronann Apartments,675000,Flat / Apartment,757,2,2, Haggerston,N1 5QJ
Edward Blore Mews,1095000,House,1322,3,3,Egerton Drive,TW7 7FE
Eastbury Road,1050000,House,2562,4,4, Watford,WD19 4JN
Lavender Sweep,625000,Flat / Apartment,946,2,2,Battersea,SW11 1HD
Sutherland Avenue,795000,Flat / Apartment,666,2,2,Maida Vale,W9 1ET
Queens Avenue,1445000,House,2468,6,6,Woodford Green,IG8 0JE
Chiltern Place,5950000,New development,1916,2,2,66 Chiltern Street,W1U 6NJ
Barnes Court,495000,Flat / Apartment,758,3,3,Lofting Road,N1 1JD
Drive Mansions,699950,Flat / Apartment,935,3,3,Fulham Road,SW6 5JB
Greystoke Gardens,400000,Flat / Apartment,764,2,2,Hanger Lane,W5 1EP
Enmore Gardens,1100000,House,1345,4,4,East Sheen,SW14 8RF
Landmark Place At Tower Bridge,4416000,New development,1847,3,3,Water Lane,EC3R 6EA
Lurline Gardens,699950,Flat / Apartment,831,2,2,Battersea,SW11 4DB
Eaton Square,1995000,Flat / Apartment,1575,3,3,Belgravia,SW1W 9DH
Connaught Avenue,2395000,House,5300,7,7,Loughton,IG10 4DP
Lofting Road,570000,Flat / Apartment,642,2,2,Islington,N1 1ET
Newington Green Mansions,450000,Flat / Apartment,595,2,2,Green Lanes,N16 9BT
Portman Heights,695000,Flat / Apartment,1042,3,3, Hampstead,NW3 7TW
Palmerston Road,1375000,House,1791,4,4,East Sheen,SW14 7PZ
Blenheim Road,2150000,House,1929,5,5,Chiswick,W4 1UB
York Mansions,1750000,Flat / Apartment,1660,3,3,Prince of Wales Drive,SW11 4BW
Albert Terrace,4950000,Flat / Apartment,2610,5,5,Primrose Hill,NW1 7SU
Ridgmount Road,1100000,House,1685,5,5,Wandsworth,SW18 2DA
Bartholomew Road,995000,Flat / Apartment,1172,3,3,Kentish Town,NW5 2AR
Kings House,495000,Flat / Apartment,696,1,1,1 Brightlingsea Place,E14 8DB
Chapman Square,1795000,House,2605,4,4,Wimbledon,SW19 5QR
Devas Road,1795000,House,2001,5,5,Wimbledon,SW20 8PD
Coleford Road,1350000,House,1519,3,3,Wandsworth,SW18 1AD
Ormond Road,2850000,House,2338,4,4,Richmond,TW10 6TH
Haldon Road,700000,House,947,2,2,Putney,SW18 1QG
East Towers,930000,House,1834,5,5,Pinner,HA5 1TL
Waverley Court,900000,Flat / Apartment,650,2,2,34-37 Beaumont Street,W1G 6DH
Wigmore Place,1950000,Flat / Apartment,1765,2,2,Marylebone,W1U 2LR
Fitzroy Street,1200000,Flat / Apartment,852,2,2,Fitzrovia,W1T 6DS
Waverley Court,840000,Flat / Apartment,625,2,2, Marylebone,W1G 6DH
Gloucester Place,1050000,Flat / Apartment,848,3,3,Marylebone,W1U 6AW
Lippitts Hill,1065000,House,2625,5,5,Loughton,IG10 4AL
Troy Court,1000000,Flat / Apartment,862,2,2,Kensington High Street,W8 7RD
East Heath Road,875000,Flat / Apartment,1210,2,2,Hampstead,NW3 1BN
Redruth Gardens,1795000,House,3796,6,6, Esher,KT10 0HD
Wolsey Road,935000,House,1583,3,3,Esher,KT10 8NX
New Road,2695000,House,5164,5,5,Esher,KT10 9NU
Park Road,2250000,House,2654,5,5, Chiswick,W4 3HP
Apex Court,475000,New development,474,1,1,1 Woodger Road,W12 8NW
Claremont House,550000,New development,540,1,1,28 Quebec Way,SE16 7FS
College Drive,1600000,House,2609,5,5,Thames Ditton,KT7 0LB
Warwick Drive,675000,Flat / Apartment,986,3,3,Putney,SW15 6LD
Coral Apartments,1100000,Penthouse,1809,2,2,17 Western Gateway,E16 1AQ
48 Reminder Lane,450000,Flat / Apartment,566,1,1,Greenwich,SE10 0NQ
Clavering Avenue,1500000,House,2035,5,5,Barnes,SW13 8DY
Boatman's Court,695000,New development,734,2,2, Putney,SW15 1PP
Richmond Mansions,1195000,Flat / Apartment,1300,3,3,Old Brompton Road,SW5 9HN
New Century House,450000,Flat / Apartment,731,2,2,8 Jude Street,E16 1FG
Eltham Court,475000,New development,639,1,1, West Ealing,W13 8RA
Faraday Road,699950,House,918,3,3,Wimbledon,SW19 8PA
Cedar Park,700000,House,942,3,3, Chigwell,IG7 5AL
Enfield Road,699950,New development,942,2,2,Islington,N1 5EN
Petergate,750000,House,914,3,3,Wandsworth,SW11 2UE
Corbiere Court,675000,House,586,2,2,Wimbledon,SW19 4ND
Guildford House,765000,Flat / Apartment,818,2,2,Tollgate Gardens,NW6 5FU
Sentis Court,595000,Flat / Apartment,1197,2,2, Northwood,HA6 3NG
De Laszlo House,2500000,New development,1615,3,3, Hampstead,NW3 5JY
Highdown Road,3395000,House,3583,6,6,Putney,SW15 5BU
Ashley Gardens,1200000,Flat / Apartment,1077,2,2, Victoria,SW1P 1HL
Revelstoke Road,595000,Flat / Apartment,947,3,3,Southfields,SW18 5NN
Florence Court,375000,Flat / Apartment,402,1,1,Sunnyside,SW19 4SG
The Water Gardens,1180000,Flat / Apartment,1732,3,3, Kingston upon Thames,KT2 7LF
Arcadian Place,1800000,House,2626,5,5,Southfields,SW18 5JF
Barham Road,2750000,House,4180,5,5,Wimbledon,SW20 0ET
Rosehill Road,575000,Flat / Apartment,680,2,2,Wandsworth,SW18 2NX
Lisson Grove,1695000,Flat / Apartment,1636,4,4,Marylebone,NW1 6LW
Elm Tree Court,600000,Flat / Apartment,514,1,1,Elm Tree Road,NW8 9JT
Albany Park Road,2700000,House,3705,6,6,Kingston upon Thames,KT2 5SW
Upper Richmond Road,699950,Flat / Apartment,816,2,2,Putney,SW15 2DU
Sefton Street,1225000,House,1450,3,3,Putney,SW15 1NA
Broadfield Lane,950000,New development,849,3,3,King's Cross,NW1 9DJ
Gloucester Avenue,799999,Flat / Apartment,483,1,1,Primrose Hill,NW1 8HX
King Edwards Road,1725000,House,2512,5,5,Ruislip,HA4 7AQ
Greenhill Court,550000,Flat / Apartment,1899,2,2, Northwood,HA6 2BD
Cumberland Mansions,1500000,Flat / Apartment,1186,3,3, Marylebone,W1H 5ZA
Hepworth Court,750000,Flat / Apartment,627,1,1,30 Gatliff Road,SW1W 8QN
Cloudesley Road,599950,Flat / Apartment,432,1,1,Islington,N1 0EN
Barnsbury Square,2250000,House,1642,4,4,Barnsbury,N1 1JL
South Hill Park Gardens,4395000,House,3292,5,5,Hampstead,NW3 2TD
Makepeace Mansions,439950,Flat / Apartment,466,1,1,Makepeace Avenue,N6 6ES
Bridgepoint Place,1795000,House,1669,4,4,Hornsey Lane,N6 5LJ
Bishops Road,815000,Flat / Apartment,969,3,3,Fulham,SW6 7AD
Grove Way,1630000,House,3457,6,6,Esher,KT10 8HQ
Westville Road,1195000,House,1953,5,5,Thames Ditton,KT7 0UH
St. Leonards Road,1595000,House,3110,4,4,Thames Ditton,KT7 0RN
New Road,1850000,House,2739,5,5,Esher,KT10 9NU
Carrington Place,725000,Flat / Apartment,1328,3,3, Esher,KT10 9SF
Sandown House,895000,Flat / Apartment,1255,2,2, Esher,KT10 9SL
Wolsey Road,775000,House,1160,3,3,Esher,KT10 8NT
Icon Apartments,480000,Flat / Apartment,732,2,2,32 Duckett Street,E1 4FX
Chandlers Avenue,399995,Flat / Apartment,553,1,1,Greenwich,SE10 0NN
Cranbrook Road,1350000,House,1628,4,4,Chiswick,W4 2LJ
Copenhagen Gardens,760000,House,919,2,2,Chiswick,W4 5NN
Eastbourne Road,1600000,House,1983,4,4, Chiswick,W4 3EB
Old Church Street,500000,Flat / Apartment,373,1,1,Chelsea,SW3 5BZ
Meredyth Road,2350000,House,2200,5,5,Barnes,SW13 0DY
Arundel Terrace,1325000,House,1476,3,3,Barnes,SW13 8DS
Hunts Paper Factory,850000,Flat / Apartment,906,2,2,49 Atalanta Street,SW6 6TU
Brackenbury Road,1500000,Duplex,2024,4,4,Brackenbury Village,W6 0BE
Television Centre,1090000,New development,923,2,2,101 Wood Lane,W12 7FS
Television Centre,1425000,Flat / Apartment,1067,2,2,6 Wood Crescent,W12 7GS
Albany Mansions,1100000,Flat / Apartment,942,2,2,Albert Bridge Road,SW11 4PQ
Latchmere Road,1000000,House,1523,4,4,Battersea,SW11 2DS
Waterside Point,2500000,Flat / Apartment,1717,2,2, Battersea,SW11 4PD
Blomfield Villas,499999,Flat / Apartment,360,1,1,Little Venice,W2 6NQ
Ridgmount Gardens,800000,Flat / Apartment,558,2,2,Fitzrovia,WC1E 7AX
Rathbone Square,1140000,New development,580,1,1, Fitzrovia,W1T 1JN
Bryanston Court,2150000,Flat / Apartment,1969,3,3, Marylebone,W1H 7HE
Huntsmore House,1895000,Penthouse,1447,3,3,35 Pembroke Road,W8 6LZ
Parkholme Road,1525000,House,1750,4,4,Hackney,E8 3AQ
Dashwood House,1500000,Flat / Apartment,1311,3,3, Longfield Avenue,W5 2JU
North Common Road,2950000,House,4125,6,6,Ealing,W5 2QB
North Avenue,2950000,House,3165,5,5,Ealing,W13 8AP
Villiers Avenue,765000,House,1143,3,3,Surbiton,KT5 8BH
Berrylands Road,1050000,House,1949,4,4,Surbiton,KT5 8PD
Magna Square,850000,House,1326,3,3,East Sheen,SW14 8LH
Cinnabar Wharf West,999500,Flat / Apartment,796,2,2,22 Wapping High Street,E1W 1NJ
Cavendish Road,550000,Flat / Apartment,701,2,2,Balham,SW12 0PQ
Foundry House,699995,Flat / Apartment,791,2,2, Canary Wharf,E14 6NJ
Burnfoot Avenue,1650000,House,2042,5,5, Fulham,SW6 5EA
College Building,625000,Flat / Apartment,776,1,1,3 Forfar Road,SW11 4FR
Goswell Road,750000,Flat / Apartment,789,2,2,Islington,EC1V 7AH
London Mill Apartments,539000,Flat / Apartment,610,2,2,Whiston Road,E2 8FS
St. Charles Square,699950,Flat / Apartment,602,2,2,North Kensington,W10 6EN
Eagle Wharf Court,1100000,Flat / Apartment,1058,2,2,Lafone Street,SE1 2LZ
Drapers Court,725000,Flat / Apartment,800,2,2,59 Lurline Gardens,SW11 4DF
Belgrave Mansions,1700000,Flat / Apartment,1303,3,3,Belgrave Gardens,NW8 0RA
Islington Place,3350000,House,3564,4,4,Islington,N1 0ET
Baynes Mews,3650000,House,3070,5,5,Belsize Park,NW3 5BH
Curzon Square,2850000,Flat / Apartment,1091,2,2,Mayfair,W1J 7FZ
Wellington House,830000,Flat / Apartment,551,1,1,70 Buckingham Gate,SW1E 6AL
St. George's Square,895000,Flat / Apartment,836,2,2,Pimlico,SW1V 2HX
Parkside Avenue,8000000,House,6713,8,8,Wimbledon,SW19 5ES
Bedford Villas,825000,House,1443,3,3,Whitehead Close,SW18 3EP
Banbury House,625000,Flat / Apartment,925,3,3,Banbury Road,E9 7EB
Hale House,3950000,Flat / Apartment,2573,3,3,34 De Vere Gardens,W8 5AQ
Almorah Road,675000,Flat / Apartment,722,2,2,Canonbury,N1 3EU
Sanderling Lodge,925000,Flat / Apartment,969,2,2,Star Place,E1W 1AJ
Albany Mansions,999950,Flat / Apartment,927,2,2,Albert Bridge Road,SW11 4PQ
Ability Place,715000,Flat / Apartment,969,2,2, Canary Wharf,E14 9DF
White Hart Lane,1650000,House,1869,4,4,Barnes,SW13 0PU
Alwyne Square,2650000,House,2314,5,5,Islington,N1 2JX
Atlantic House,850000,Penthouse,1249,3,3, Shoreditch,E2 8HH
New North Road,475000,Flat / Apartment,477,1,1,Hoxton,N1 6JB
Cicada Road,1250000,House,1658,4,4,Wandsworth,SW18 2NN
Ennismore Avenue,2500000,House,2960,5,5,Chiswick,W4 1SF
Arbrook Lane,1950000,House,2817,6,6,Esher,KT10 9EG
Riverside Court,2950000,Penthouse,2128,3,3,20 Nine Elms Lane,SW8 5BZ
Otto Building,1300000,Penthouse,1476,3,3,Downs Road,E5 8DE
Albany Mansions,1025000,Flat / Apartment,947,3,3,Albert Bridge Road,SW11 4PQ
Mount Park Road,2000000,House,2593,4,4,Harrow On The Hill,HA1 3LD
Wilmington House,500000,Flat / Apartment,572,1,1, Highbury,N5 1RX
Chilton Street,625000,Flat / Apartment,842,1,1,Shoreditch,E2 6EA
Geraldine Road,1350000,House,1873,5,5,Wandsworth,SW18 2NR
Morpeth Mansions,2100000,Flat / Apartment,1556,4,4,Morpeth Terrace,SW1P 1ET
No.1 Grosvenor Square,39750000,New development,5623,5,5,Mayfair,W1K 4AB
No.1 Grosvenor Square,14250000,New development,2415,3,3,Mayfair,W1K 4AB
Greencoat Place,730000,Flat / Apartment,693,2,2,Westminster,SW1P 1AB
Allfarthing Lane,735000,Flat / Apartment,983,3,3,Wandsworth,SW18 2PG
Provost Street,495000,Flat / Apartment,499,1,1,Old Street,N1 7NB
City Lofts,875000,Flat / Apartment,898,1,1, Shoreditch,EC2A 4LE
Marlborough,700000,Flat / Apartment,870,2,2,Maida Vale,W9 1RW
No.1 Grosvenor,8250000,New development,1455,2,2,Mayfair,W1K 4AB
Orsman Road,800000,New development,920,3,3,Hackney,N1 5QJ
Orchard Building,900000,Flat / Apartment,802,2,2, Clerkenwell,EC1V 3AP
Park Lane,800000,Flat / Apartment,532,1,1,Mayfair,W1K 7AF
Rusthall Avenue,2550000,House,2679,5,5,Chiswick,W4 1BW
The Drive,1400000,Bungalow,2921,4,4, Uxbridge,UB10 8AF
Shirland Road,675000,Flat / Apartment,676,1,1,Maida Vale,W9 2BT
Sir John Lyon House,3950000,Flat / Apartment,2780,3,3,8 High Timber Street,EC4V 3PA
Montrose Gardens,4750000,House,8590,7,7,Oxshott,KT22 0UU
Grosvenor Road,2250000,House,2736,5,5,Chiswick,W4 4EH
Leys Road,4300000,House,9623,7,7,Oxshott,KT22 0QE
Herondale Avenue,5500000,House,4292,6,6,Wandsworth,SW18 3JN
Rochester Row,995000,Flat / Apartment,747,2,2,Westminster,SW1P 1LQ
Highstone House,1550000,Flat / Apartment,1315,3,3,21 Highbury Crescent,N5 1RX
Cambridge Street,680000,Flat / Apartment,581,2,2,Pimlico,SW1V 4QE
Roden Street,1395000,House,1428,5,5,Holloway,N7 6QJ
Bolanachi Building,575000,Flat / Apartment,745,2,2,Enid Street,SE16 3EX
Barham Road,2675000,House,3595,5,5,Wimbledon,SW20 0ET
Shepherdess Walk,2200000,Flat / Apartment,2288,3,3,Old Street,N1 7LB
Television Centre,740000,Penthouse,579,1,1,101 Wood Lane,W12 7FS
Coleraine Road,1800000,House,2996,5,5,Blackheath,SE3 7PQ
17 Lillie Square,1430000,New development,905,2,2, Earls Court,SW6 1UE
Walsingham,1990000,Flat / Apartment,1364,3,3,St. Johns Wood Park,NW8 6RG
Samford House,525000,Flat / Apartment,779,4,4,Charlotte Terrace,N1 0JF
Buckston Browne Gardens,1900000,House,4558,5,5, Orpington,BR6 7FF
Belgrave Road,3995000,House,4642,6,6,Pimlico,SW1V 2BQ
Dalby Road,1100000,House,1420,3,3, Wandsworth,SW18 1AW
Deerings Drive,975000,House,1448,4,4,Pinner,HA5 2NZ
Astonville Street,1225000,House,1495,4,4,Southfields,SW18 5AG
Upper Halliford Road,325000,Flat / Apartment,601,2,2,Shepperton,TW17 8SH
Earlsfield Road,1175000,House,2259,5,5,Wandsworth,SW18 3DY
City Road,500000,Flat / Apartment,551,1,1,Shoreditch,EC1V 1AG
Hillbrow,850000,Flat / Apartment,1239,3,3, Richmond,TW10 6BH
Church Road,3950000,House,4629,6,6, Richmond,TW10 5HG
Regents Park Road,1750000,Flat / Apartment,1677,2,2,Primrose Hill,NW1 7SX
Spencer Road,1950000,House,2797,6,6,East Molesey,KT8 0SP
York Mansions,2100000,Flat / Apartment,1550,3,3,Prince of Wales Drive,SW11 4BN
Overstrand Mansions,1685000,Flat / Apartment,1318,2,2,Prince of Wales Drive,SW11 4EU
Candlemakers Apartments,550000,Flat / Apartment,759,1,1, Battersea,SW11 3RS
Gowing House,1150000,New development,1206,3,3, Wandsworth,SW18 1SZ
Avenue Close,1695000,Flat / Apartment,1168,2,2,Avenue Road,NW8 6DA
Provost Street,500000,Flat / Apartment,508,1,1,Shoreditch,N1 7NB
The Listed Building,970000,Flat / Apartment,1350,2,2,350 The Highway,E1W 3HU
Reynolds House,475000,Flat / Apartment,663,2,2,Approach Road,E2 9JR
Kensington House,650000,Flat / Apartment,1162,2,2, Woodford Green,IG8 8RJ
17 Lillie Square,1680000,New development,1100,2,2, Earls Court,SW6 1UE
Turner House,1250000,Flat / Apartment,802,1,1, Covent Garden,WC2R 0PP
Pierhead Lock,700000,Flat / Apartment,1387,4,4, Canary Wharf,E14 3FD
Barmouth Road,799999,Flat / Apartment,1283,2,2,Wandsworth,SW18 2DN
Margil House,825000,Flat / Apartment,1175,3,3,Singapore Road,W13 0FD
Television Centre,1050000,Flat / Apartment,953,2,2,101 Wood Lane,W12 7FT
Eamont Court,725000,Flat / Apartment,617,2,2, St Johns Wood,NW8 7DW
Lanson Building,525000,Flat / Apartment,472,1,1,348 Queenstown Road,SW11 8QN
Hepworth Court,1600000,Flat / Apartment,1019,3,3,30 Gatliff Road,SW1W 8QP
Quarry Road,1550000,House,2326,5,5,Wandsworth,SW18 2QH
Barmouth Road,750000,Flat / Apartment,1176,3,3,Wandsworth,SW18 2DT
Baxendale Street,950000,House,987,2,2,Shoreditch,E2 7BY
Oxford Road,710000,Flat / Apartment,730,2,2,Putney,SW15 2LF
Ravenswood Park,1100000,House,2007,4,4,Northwood,HA6 3PR
Davenham Avenue,1600000,House,2914,4,4,Northwood,HA6 3HW
Chiltern Place,12950000,New development,2840,2,2, Marylebone,W1U 4EJ
Grosvenor Avenue,749950,Flat / Apartment,1053,3,3,Highbury,N5 2NP
Barwell Court Farmhouse,699950,House,1410,3,3, Chessington,KT9 2LZ
Hugero Point,399995,Flat / Apartment,569,1,1, Greenwich,SE10 0GS
Ionian Building,525000,Flat / Apartment,814,1,1,45 Narrow Street,E14 8DW
Palladian Gardens,2500000,New development,2967,5,5,Chiswick,W4 2ER
Vanilla & Sesame Court,950000,Flat / Apartment,698,2,2,Curlew Street,SE1 2NP
George Road,1750000,New development,2553,5,5,Kingston Upon Thames,KT2 7NR
Lysia Street,1225000,House,1510,4,4,Fulham,SW6 6NE
17 Lillie Square,2170000,New development,1081,3,3, Earls Court,SW6 1UE
Cholmondeley Walk,3250000,House,3410,3,3,Richmond,TW9 1NS
Talisman Tower,630000,Flat / Apartment,709,2,2, Canary Wharf,E14 9BU
St Paul Street,1600000,House,1565,3,3,Islington,N1 7AH
Balcorne Street,475000,Flat / Apartment,626,2,2,South Hackney,E9 7AU
Ormond Road,1025000,Flat / Apartment,992,3,3,Richmond,TW10 6TH
Cleveland Street,550000,Flat / Apartment,358,1,1,Fitzrovia,W1T 6NU
Ferry Road,4350000,House,4862,6,6,Barnes,SW13 9PR
Greenhill Court,575000,Flat / Apartment,997,2,2, Northwood,HA6 2BD
Orchard Rise,2650000,House,3009,5,5,Richmond,TW10 5BX
Wadham Road,1345000,House,1909,4,4,Putney,SW15 2LS
Carmalt Gardens,2250000,House,2978,5,5,Putney,SW15 6NE
Falcon Wharf,500000,Flat / Apartment,752,1,1, Battersea,SW11 3RY
Parliament View Apartments,1600000,Flat / Apartment,1192,2,2,Lambeth,SE1 7XQ
Drapers Yard,515000,Flat / Apartment,578,1,1,Wandsworth,SW18 1SF
Coborn Road,1485000,House,1541,4,4,Bow,E3 2DA
Park Village East,3650000,House,2034,4,4,Regent's Park,NW1 7PZ
Melrose Road,630000,House,1596,4,4,Coulsdon,CR5 3JH
Clephane Road,699950,Flat / Apartment,976,3,3,Canonbury,N1 2FT
Thorpe Hall Mansions,600000,Flat / Apartment,854,3,3,Eaton Rise,W5 2HB
Aragon Avenue,900000,House,1363,4,4,Thames Ditton,KT7 0PY
Woodbourne Drive,1195000,House,2149,4,4, Esher,KT10 0DR
Des Barres Court,395000,Penthouse,594,1,1, Greenwich,SE10 0GY
Landmark East Tower,795000,Flat / Apartment,862,2,2,24 Marsh Wall,E14 9DB
Argyll Mansions,1350000,Flat / Apartment,1768,3,3,Bishops King Road,W14 8QQ
Benbow House,3600000,Flat / Apartment,2147,3,3,24 New Globe Walk,SE1 9DS
Fernshaw Mansions,1599950,Flat / Apartment,1111,3,3,Fernshaw Road,SW10 0TD
The Tower,1850000,Flat / Apartment,1176,2,2,1 St. George Wharf,SW8 2DU
Weldin Mews,875000,House,1211,3,3,Putney,SW18 1FT
Chiswick Wharf,1595000,House,1643,5,5,Chiswick,W4 2SR
Whittingstall Road,675000,Flat / Apartment,638,1,1,Fulham,SW6 4EA
Noel Road,900000,Flat / Apartment,822,2,2,Islington,N1 8HD
Buckland Crescent,6450000,House,5288,6,6,Belsize Park,NW3 5DX
Chantry Street,1600000,House,1195,2,2,Islington,N1 8NL
Curzon Street,3750000,Flat / Apartment,1358,2,2,Mayfair,W1J 5HG
Banister House,465000,Flat / Apartment,730,2,2,Homerton High Street,E9 6BH
Baronsmead Road,3250000,House,3179,6,6,Barnes,SW13 9RR
Tower View Apartments,1500000,Flat / Apartment,1200,2,2,84 St. Katharines Way,E1W 1BE
Old School Square,450000,Flat / Apartment,717,2,2,Canary Wharf,E14 7DJ
Ashley Gardens,2375000,Flat / Apartment,2123,3,3,Emery Hill Street,SW1P 1PD
Broom Close,1550000,House,3065,4,4,Esher,KT10 9ET
Elers Road,1780000,House,2264,5,5,Ealing,W13 9QB
Mortimer Road,775000,Flat / Apartment,729,2,2,De Beauvoir,N1 4LA
Palace Mansions,1450000,Flat / Apartment,1700,4,4,Earsby Street,W14 8QW
Wendon Street,425000,Flat / Apartment,563,1,1,Bow,E3 2JR
Byfeld Gardens,2000000,House,2009,4,4,Barnes,SW13 9HP
Severnake Close,800000,House,1260,4,4,Canary Wharf,E14 9WE
Harrowgate Road,900000,House,1275,3,3,Homerton,E9 5EB
Borneo Street,779000,Flat / Apartment,832,2,2,Putney,SW15 1QQ
Dyers Lane,945000,House,1146,2,2,Putney,SW15 6JR
Cygnet Close,1295000,House,2055,4,4,Northwood,HA6 2TA
Waterloo Terrace,1850000,House,1512,3,3,Islington,N1 1TQ
Ember Lane,1299995,House,2394,5,5,Esher,KT10 8EF
Palace Road,2850000,House,5116,6,6,East Molesey,KT8 9DW
Sheen Common Drive,2650000,House,2942,6,6,Richmond,TW10 5BW
Vicary House,795000,New development,541,1,1,24 Bartholomew Close,EC1A 7BB
47 Pilot Walk,995000,Penthouse,1485,3,3,Greenwich,SE10 0NW
The Chase,2850000,House,5380,6,6, Tadworth,KT20 6HZ
Leighton House,875000,Flat / Apartment,922,3,3,John Islip Street,SW1P 4EA
Port East Apartments,565000,Flat / Apartment,653,1,1, Canary Wharf,E14 4AX
City Road,2000000,New development,1342,3,3,Shoreditch,EC1V 1AZ
City Road,1000000,New development,772,2,2,Shoreditch,EC1V 1AZ
Albert Mews,1250000,House,1877,4,4,Canary Wharf,E14 8EH
Newman Street,895000,Flat / Apartment,601,1,1,Fitzrovia,W1T 1PN
City Road,900000,Flat / Apartment,1273,2,2,Shoreditch,EC1V 2NR
Priory Lane,699950,House,1226,3,3,West Molesey,KT8 2PS
Dartmouth Park Road,850000,Flat / Apartment,1382,3,3,Dartmouth Park,NW5 1SX
Battersea Church Road,725000,Flat / Apartment,872,2,2,Battersea,SW11 3LY
